artista,pais_de_origen,area_de_origen,fecha_nacimiento,fecha_inicio_actividad,fecha_fin_actividad
Hombres G,Spain,Madrid,NULL,1982,Actualidad
Tana French,Ireland,Burlington,1973-05-10,NULL,Actualidad
Sebastián Yatra,Colombia,Medellín,1994-10-15,NULL,Actualidad
The Osborne Brothers,United States,NULL,NULL,1956,2005
Arctic Monkeys,United Kingdom,High Green,NULL,2002,Actualidad
Petey Pablo,United States,Greenville,1973-07-22,NULL,Actualidad
Anubiis,NULL,NULL,NULL,NULL,Actualidad
Wax Tailor,France,Vernon,1975-07-19,NULL,Actualidad
Red Hot Chili Peppers,United States,Los Angeles,NULL,1983,Actualidad
Gente de Zona,Cuba,La Habana,NULL,2000,Actualidad
Fit for a King,United States,NULL,NULL,2007-09,Actualidad
Boza,Panama,Ciudad de Panamá,1997-07-25,NULL,Actualidad
Foyone,Spain,NULL,NULL,NULL,Actualidad
Kairikibear,NULL,NULL,NULL,NULL,Actualidad
Paloma Faith,United Kingdom,Stoke Newington,1981-07-21,NULL,Actualidad
Brandon Heath,United States,Nashville,1978-07-21,NULL,Actualidad
Ladilla Rusa,Spain,NULL,NULL,NULL,Actualidad
Daniel Avery,London,NULL,1986-09-30,NULL,Actualidad
Héroes del Silencio,Spain,Zaragoza,NULL,1984,1996
Indigo Girls,United States,Atlanta,NULL,1985,Actualidad
Saurom,Spain,San Fernando,NULL,1996-09-01,Actualidad
Sanctus Real,United States,Toledo,NULL,1996,Actualidad
Zoé,Mexico,Cuernavaca,NULL,1997,Actualidad
Saiko,Chile,Santiago,NULL,1999,Actualidad
Korn,United States,Bakersfield,NULL,1993,Actualidad
Yampi,Puerto Rico,NULL,NULL,NULL,Actualidad
Cole Swindell,United States,Glennville,1983-06-30,NULL,Actualidad
The Beatles,United Kingdom,Liverpool,NULL,1960,1970-04-10
Siddhartha,Mexico,Guadalajara,1990-08-25,NULL,Actualidad
Travis Denning,United States,Warner Robins,1992-12-01,NULL,Actualidad
Luar la L,NULL,Carolina,2000-05-29,NULL,Actualidad
Wet Leg,United Kingdom,Isle of Wight,NULL,2019,Actualidad
House of Pain,United States,New York,NULL,1990,1996
Motion Picture Soundtrack,United Kingdom,NULL,NULL,NULL,Actualidad
Clap! Clap!,Italy,NULL,NULL,NULL,Actualidad
Viva Suecia,Spain,NULL,NULL,NULL,Actualidad
Crosses,NULL,NULL,NULL,NULL,Actualidad
Neutro Shorty,Venezuela,Caracas,1994-06-19,NULL,Actualidad
Robbie Rivera,United States,San Juan,1973-08-07,NULL,Actualidad
Wild Honey,Spain,NULL,NULL,2007,Actualidad
Motörhead,United Kingdom,London,NULL,1975-06,2015-12-28
Pol Granch,NULL,Madrid,1998-04-08,NULL,Actualidad
maga,Spain,Sevilla,NULL,2000,Actualidad
Fondo Flamenco,Spain,NULL,NULL,NULL,Actualidad
P.A.F.F.,Poland,NULL,1990-06-20,NULL,Actualidad
Vance Joy,Australia,Melbourne,1987-12-01,NULL,Actualidad
Hiss Golden Messenger,United States,Durham,NULL,2007,Actualidad
Bonobo,United Kingdom,Leeds,1976-03-30,NULL,Actualidad
Mount Kimbie,England,London,NULL,2008,Actualidad
Goodbye June,NULL,Nashville,NULL,2005-06,Actualidad
WhoMadeWho,Denmark,Copenhagen,NULL,2003,Actualidad
Lasai,Spain,Talavera de la Reina,1985-10-12,NULL,Actualidad
Mitch Coodley,NULL,NULL,NULL,NULL,Actualidad
Melendi,Spain,Oviedo,1979-01-21,NULL,Actualidad
Rebecca St. James,United States,Sydney,1977-07-26,NULL,Actualidad
Isaac Hayes,United States,Covington,1942-08-20,NULL,2008-08-10
Elliott Smith,United States,Omaha,1969-08-06,NULL,2003-10-21
Sharon Van Etten,United States,Clinton,1981-02-26,NULL,Actualidad
Cazzu,Argentina,NULL,1994-12-16,NULL,Actualidad
Bob Schneider,United States,Ypsilanti,1965-10-12,NULL,Actualidad
Darell,Puerto Rico,NULL,1990-01-05,NULL,Actualidad
Hooverphonic,Belgium,Sint-Niklaas,NULL,1995-10,Actualidad
Colorblind,Denmark,NULL,NULL,NULL,Actualidad
Lone Ark,Spain,NULL,NULL,NULL,Actualidad
Kaze,United States,Fort Belvoir,NULL,NULL,Actualidad
Skylar Grey,United States,Mazomanie,1986-02-23,NULL,Actualidad
Rysy,Poland,Warsaw,NULL,2015,Actualidad
The E Street Band,United States,New Jersey,NULL,1972-10,Actualidad
Guns N’ Roses,United States,Los Angeles,NULL,1985-03,Actualidad
Ghost,Sweden,Linköping,NULL,2008,Actualidad
Black Label Society,United States,Los Angeles,NULL,1998,Actualidad
Opera Magna,Spain,NULL,NULL,1997,Actualidad
La Casa Azul,Spain,Barcelona,NULL,1997,Actualidad
J. K. Rowling,United Kingdom,Yate,1965-07-31,NULL,Actualidad
Shotta,Spain,Sevilla,1984-07-25,NULL,Actualidad
Night Tempo,South Korea,NULL,NULL,NULL,Actualidad
Tamara,Spain,NULL,1984-06-27,NULL,Actualidad
Bala,Galicia,A Coruña,NULL,2014-06,Actualidad
Aimer,Japan,NULL,NULL,NULL,Actualidad
Mora Träsk,Sweden,NULL,NULL,1971,Actualidad
Charlie Rich,United States,Colt,1932-12-14,NULL,1995-07-24
James McMurtry,United States,Fort Worth,1962-03-18,NULL,Actualidad
Palito Ortega,Argentina,NULL,1942-03-08,NULL,Actualidad
Jacques Greene,Canada,NULL,1989-09-24,NULL,Actualidad
Ill Pekeño,Spain,NULL,NULL,NULL,Actualidad
Marea,Spain,Berriozar,NULL,1997-12-24,Actualidad
Dominic Fike,Florida,Naples,1995-12-30,NULL,Actualidad
